,missions_been_on,failed_missions_been_on,missions_voted_up1,missions_voted_up2,missions_voted_up3,missions_voted_up4,missions_voted_up5,missions_voted_up6,missions_voted_down1,missions_voted_down2,missions_voted_down3,missions_voted_down4,missions_voted_down5,missions_voted_down6,Spy
326,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0
327,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1
328,3,2,2,0,0,0,1,0,2,1,0,0,0,0,1
329,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
330,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
331,1,1,0,0,0,0,0,0,2,0,1,1,0,0,1
332,1,1,0,1,0,0,0,0,2,2,0,0,0,0,1
333,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
334,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0
336,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
337,3,1,4,0,0,1,0,0,0,0,0,0,0,0,0
338,2,2,1,2,0,0,1,0,1,0,0,0,0,0,1
339,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
340,1,1,2,1,0,0,1,0,0,0,0,0,0,0,1
341,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
342,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1
343,2,2,3,0,1,0,0,1,0,0,0,0,0,0,1
344,1,0,2,0,0,0,0,0,0,1,1,1,0,0,1
345,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
346,1,1,2,0,0,1,0,0,2,0,0,1,0,0,1
347,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0
348,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0
349,3,1,3,4,0,1,0,0,0,0,0,0,0,0,0
350,0,0,2,0,1,0,0,1,1,0,0,0,0,0,1
351,2,2,3,1,1,1,0,0,0,0,0,0,0,0,1
352,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0
353,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
354,2,1,2,0,2,1,0,0,0,0,0,0,0,0,0
355,1,0,2,0,0,1,0,0,1,1,0,0,0,0,1
