,accelerometer_X,accelerometer_Y,accelerometer_Z,BVP,EDA,heart_rate,IBI_0,IBI_1,temp,Subject,Label
236,-16.0,-15.0,58.0,159.68,0.185782,66.77,259.84375,0.84375,28.51,S01,0
237,-15.0,-14.0,59.0,158.89,0.187063,66.82,260.71875,0.875,28.53,S01,0
238,-14.0,-14.0,57.0,155.05,0.185782,66.87,261.609375,0.890625,28.53,S01,0
239,-11.0,-14.0,60.0,149.74,0.188344,66.92,262.46875,0.859375,28.53,S01,0
240,-10.0,-14.0,63.0,143.46,0.187063,66.98,263.359375,0.890625,28.53,S01,0
241,-11.0,-12.0,59.0,136.57,0.185782,67.05,264.265625,0.90625,28.49,S01,0
242,-12.0,-13.0,60.0,129.28,0.185782,67.13,265.140625,0.875,28.49,S01,0
243,-16.0,-13.0,61.0,121.78,0.187063,67.22,266.0,0.859375,28.49,S01,0
244,-15.0,-13.0,61.0,114.18,0.185782,67.3,266.859375,0.859375,28.49,S01,0
245,-16.0,-12.0,57.0,106.64,0.185782,67.38,267.71875,0.859375,28.53,S01,0
246,-18.0,-13.0,57.0,99.26,0.187063,67.47,268.5625,0.84375,28.53,S01,0
247,-16.0,-13.0,61.0,92.22,0.187063,67.53,269.390625,0.828125,28.53,S01,0
248,-14.0,-12.0,60.0,85.69,0.185782,67.58,270.234375,0.84375,28.53,S01,0
249,-14.0,-13.0,56.0,79.5,0.185782,67.6,271.140625,0.90625,28.53,S01,0
250,-17.0,-14.0,59.0,73.56,0.188344,67.6,272.03125,0.890625,28.53,S01,0
251,-14.0,-15.0,63.0,67.83,0.187063,67.6,272.921875,0.890625,28.53,S01,0
252,-14.0,-14.0,61.0,62.31,0.187063,67.6,273.796875,0.875,28.53,S01,0
253,-17.0,-14.0,58.0,56.99,0.185782,67.6,274.6875,0.890625,28.51,S01,0
254,-17.0,-15.0,60.0,51.93,0.188344,67.6,275.53125,0.84375,28.51,S01,0
255,-15.0,-15.0,60.0,47.14,0.188344,67.6,276.375,0.84375,28.51,S01,0
256,-15.0,-16.0,60.0,42.72,0.188344,67.6,277.234375,0.859375,28.51,S01,0
257,-14.0,-17.0,62.0,38.78,0.187063,67.6,278.078125,0.84375,28.49,S01,0
258,-13.0,-16.0,61.0,35.17,0.187063,67.6,278.921875,0.84375,28.49,S01,0
259,-14.0,-15.0,58.0,31.81,0.188344,67.58,279.734375,0.8125,28.49,S01,0
260,-14.0,-16.0,58.0,28.67,0.188344,67.58,280.578125,0.84375,28.49,S01,0
261,-14.0,-16.0,61.0,25.71,0.188344,67.58,281.40625,0.828125,28.51,S01,0
262,-13.0,-15.0,61.0,22.94,0.187063,67.58,282.234375,0.828125,28.51,S01,0
263,-13.0,-15.0,60.0,20.36,0.187063,67.6,283.046875,0.8125,28.51,S01,0
264,-15.0,-14.0,60.0,17.98,0.187063,67.62,283.859375,0.8125,28.51,S01,0
265,-15.0,-14.0,60.0,15.82,0.188344,67.65,284.703125,0.84375,28.51,S01,0
266,-15.0,-14.0,59.0,13.93,0.188344,67.7,285.578125,0.875,28.51,S01,0
267,-14.0,-15.0,59.0,12.17,0.188344,67.77,286.4375,0.859375,28.51,S01,0
268,-14.0,-15.0,61.0,10.48,0.189626,67.85,287.25,0.8125,28.51,S01,0
269,-14.0,-15.0,60.0,8.81,0.187063,67.93,288.046875,0.796875,28.51,S01,0
270,-14.0,-14.0,58.0,7.17,0.187063,68.02,288.84375,0.796875,28.51,S01,0
271,-15.0,-14.0,59.0,5.54,0.188344,68.1,289.609375,0.765625,28.51,S01,0
272,-16.0,-15.0,61.0,3.98,0.188344,68.18,290.546875,0.9375,28.51,S01,0
273,-16.0,-15.0,62.0,2.5,0.188344,68.27,291.390625,0.84375,28.53,S01,0
274,-16.0,-14.0,59.0,1.17,0.189626,68.37,292.203125,0.8125,28.53,S01,0
275,-18.0,-15.0,59.0,0.06,0.187063,68.47,293.015625,0.8125,28.53,S01,0
276,-18.0,-15.0,59.0,-0.87,0.188344,68.58,293.8125,0.796875,28.53,S01,0
277,-18.0,-15.0,58.0,-1.61,0.188344,68.7,294.640625,0.828125,28.53,S01,0
278,-17.0,-16.0,58.0,-2.2,0.189626,68.82,295.453125,0.8125,28.53,S01,0
279,-18.0,-17.0,59.0,-2.62,0.189626,68.92,296.25,0.796875,28.53,S01,0
280,-18.0,-16.0,58.0,-2.89,0.187063,69.02,297.03125,0.78125,28.53,S01,0
281,-17.0,-16.0,58.0,-3.02,0.187063,69.12,297.828125,0.796875,28.53,S01,0
282,-17.0,-16.0,59.0,-3.03,0.188344,69.2,298.59375,0.765625,28.53,S01,0
283,-18.0,-15.0,59.0,-2.92,0.187063,69.28,299.390625,0.796875,28.53,S01,0
